"termid","lab_year","n_record","n_patient","distancetoroot","label"
"HP:0000118",1936,4,1,0,"Phenotypic abnormality"
"HP:0001939",1936,3,1,1,"Abnormality of metabolism/homeostasis"
"HP:0001871",1936,1,1,1,"Abnormality of blood and blood-forming tissues"
"HP:0001928",1936,1,1,2,"Abnormality of coagulation"
"HP:0032180",1936,2,1,2,"Abnormal circulating metabolite concentration"
"HP:0012379",1936,1,1,2,"Abnormal enzyme/coenzyme activity"
"HP:0004379",1936,1,1,3,"Abnormality of alkaline phosphatase level"
"HP:0004364",1936,2,1,3,"Abnormal circulating nitrogen compound concentration"
"HP:0003256",1936,1,1,3,"Abnormality of the coagulation cascade"
"HP:0003155",1936,1,1,4,"Elevated alkaline phosphatase"
"HP:0012200",1936,1,1,4,"Abnormality of prothrombin"
"HP:0002157",1936,2,1,4,"Azotemia"
"HP:0012100",1936,1,1,4,"Abnormal circulating creatinine level"
"HP:0031970",1936,1,1,4,"Abnormal blood urea nitrogen concentration"
"HP:0003259",1936,1,1,5,"Elevated serum creatinine"
"HP:0032199",1936,1,1,5,"Abnormal prothrombin time"
"HP:0003138",1936,1,1,5,"Increased blood urea nitrogen"
"HP:0008151",1936,1,1,6,"Prolonged prothrombin time"
"HP:0000118",1998,8,4,0,"Phenotypic abnormality"
"HP:0001871",1998,8,4,1,"Abnormality of blood and blood-forming tissues"
"HP:0002715",1998,8,4,1,"Abnormality of the immune system"
"HP:0001881",1998,8,4,2,"Abnormal leukocyte morphology"
"HP:0032251",1998,8,4,2,"Abnormal immune system morphology"
"HP:0011893",1998,8,4,3,"Abnormal leukocyte count"
"HP:0004332",1998,8,4,3,"Abnormal lymphocyte morphology"
"HP:0010987",1998,8,4,3,"Abnormal cellular immune system morphology"
"HP:0040088",1998,8,4,4,"Abnormal lymphocyte count"
"HP:0002843",1998,8,4,4,"Abnormal T cell morphology"
"HP:0001882",1998,8,4,4,"Leukopenia"
"HP:0011839",1998,8,4,5,"Abnormal T cell count"
"HP:0001888",1998,8,4,5,"Lymphopenia"
"HP:0005403",1998,8,4,6,"Decrease in T cell count"
"HP:0025540",1998,8,4,6,"Abnormal T cell subset distribution"
"HP:0005407",1998,8,4,7,"Decreased proportion of CD4-positive helper T cells"
"HP:0500267",1998,8,4,7,"Abnormal proportion of CD4-positive helper T cells"
"HP:0000118",1999,12,8,0,"Phenotypic abnormality"
"HP:0001871",1999,12,8,1,"Abnormality of blood and blood-forming tissues"
"HP:0002715",1999,12,8,1,"Abnormality of the immune system"
"HP:0032251",1999,12,8,2,"Abnormal immune system morphology"
"HP:0001881",1999,12,8,2,"Abnormal leukocyte morphology"
"HP:0010987",1999,12,8,3,"Abnormal cellular immune system morphology"
"HP:0004332",1999,12,8,3,"Abnormal lymphocyte morphology"
"HP:0011893",1999,12,8,3,"Abnormal leukocyte count"
"HP:0001882",1999,12,8,4,"Leukopenia"
"HP:0002843",1999,12,8,4,"Abnormal T cell morphology"
"HP:0040088",1999,12,8,4,"Abnormal lymphocyte count"
"HP:0011839",1999,12,8,5,"Abnormal T cell count"
"HP:0001888",1999,12,8,5,"Lymphopenia"
"HP:0005403",1999,12,8,6,"Decrease in T cell count"
"HP:0025540",1999,12,8,6,"Abnormal T cell subset distribution"
"HP:0500267",1999,12,8,7,"Abnormal proportion of CD4-positive helper T cells"
"HP:0005407",1999,12,8,7,"Decreased proportion of CD4-positive helper T cells"
"HP:0000118",2000,82609,6901,0,"Phenotypic abnormality"
"HP:0000818",2000,419,338,1,"Abnormality of the endocrine system"
"HP:0000119",2000,1360,1089,1,"Abnormality of the genitourinary system"
"HP:0000707",2000,361,319,1,"Abnormality of the nervous system"
"HP:0001939",2000,16258,3583,1,"Abnormality of metabolism/homeostasis"
"HP:0025354",2000,83,45,1,"Abnormal cellular phenotype"
"HP:0002715",2000,21552,3937,1,"Abnormality of the immune system"
"HP:0002086",2000,4193,469,1,"Abnormality of the respiratory system"
"HP:0025031",2000,829,363,1,"Abnormality of the digestive system"
"HP:0001626",2000,134,71,1,"Abnormality of the cardiovascular system"
"HP:0001871",2000,60682,5684,1,"Abnormality of blood and blood-forming tissues"
"HP:0032245",2000,308,234,2,"Abnormal metabolism"
"HP:0010978",2000,125,71,2,"Abnormality of immune system physiology"
"HP:0001872",2000,3470,1429,2,"Abnormal thrombocyte morphology"
"HP:0002795",2000,4193,469,2,"Functional respiratory abnormality"
"HP:0001881",2000,21427,3903,2,"Abnormal leukocyte morphology"
"HP:0001928",2000,3930,1082,2,"Abnormality of coagulation"
"HP:0012337",2000,3535,509,2,"Abnormal homeostasis"
"HP:0002012",2000,829,363,2,"Abnormality of the abdominal organs"
"HP:0003110",2000,1360,1089,2,"Abnormality of urine homeostasis"
"HP:0012379",2000,1805,987,2,"Abnormal enzyme/coenzyme activity"
"HP:0003117",2000,64,55,2,"Abnormal circulating hormone level"
"HP:0000079",2000,1360,1089,2,"Abnormality of the urinary system"
"HP:0000820",2000,62,53,2,"Abnormality of the thyroid gland"
"HP:0032251",2000,21427,3903,2,"Abnormal immune system morphology"
"HP:0025021",2000,225,204,2,"Abnormal erythrocyte sedimentation rate"
"HP:0000864",2000,309,285,2,"Abnormality of the hypothalamus-pituitary axis"
"HP:0032180",2000,8942,2131,2,"Abnormal circulating metabolite concentration"
"HP:0001877",2000,31855,4486,2,"Abnormal erythrocyte morphology"
"HP:0000828",2000,46,40,2,"Abnormality of the parathyroid gland"
"HP:0012639",2000,361,319,2,"Abnormal nervous system morphology"
"HP:0010932",2000,73,68,2,"Abnormal circulating nucleobase concentration"
"HP:0500015",2000,134,71,2,"Abnormal cardiac test"
"HP:0011017",2000,83,45,2,"Abnormal cellular physiology"
"HP:0003256",2000,2608,943,3,"Abnormality of the coagulation cascade"
"HP:0004360",2000,3406,401,3,"Abnormality of acid-base homeostasis"
"HP:0020058",2000,6251,2603,3,"Abnormal red blood cell count"
"HP:0004312",2000,105,83,3,"Abnormal reticulocyte morphology"
"HP:0003111",2000,2378,634,3,"Abnormal blood ion concentration"
"HP:0012610",2000,1,1,3,"Abnormality of urinary uric acid concentration"
"HP:0011014",2000,129,119,3,"Abnormal glucose homeostasis"
"HP:0031850",2000,7715,2557,3,"Abnormal hematocrit"
"HP:0003645",2000,1322,487,3,"Prolonged partial thromboplastin time"
"HP:0011876",2000,1554,870,3,"Abnormal platelet volume"
"HP:0031508",2000,62,53,3,"Abnormal thyroid hormone level"
"HP:0031965",2000,5011,2038,3,"Increased RBC distribution width"
"HP:0030948",2000,264,204,3,"Elevated gamma-glutamyltransferase level"
"HP:0011767",2000,46,40,3,"Abnormality of the parathyroid physiology"
"HP:0002011",2000,361,319,3,"Morphological central nervous system abnormality"
"HP:0012415",2000,4193,469,3,"Abnormal blood gas level"
"HP:0005368",2000,109,59,3,"Abnormality of humoral immunity"
"HP:0004354",2000,24,23,3,"Abnormal circulating carboxylic acid concentration"
"HP:0011902",2000,206,201,3,"Abnormal hemoglobin"
"HP:0010876",2000,2504,849,3,"Abnormal circulating protein level"
"HP:0020129",2000,8,8,3,"Abnormal urine protein level"
"HP:0031409",2000,83,45,3,"Abnormal lymphocyte physiology"
"HP:0010974",2000,12159,3271,3,"Abnormal myeloid leukocyte morphology"
"HP:0011043",2000,1,1,3,"Abnormality of circulating adrenocorticotropin level"
"HP:0004332",2000,5558,1882,3,"Abnormal lymphocyte morphology"
"HP:0011893",2000,21427,3903,3,"Abnormal leukocyte count"
"HP:0010987",2000,21427,3903,3,"Abnormal cellular immune system morphology"
"HP:0045040",2000,762,450,3,"Abnormal lactate dehydrogenase level"
"HP:0003565",2000,225,204,3,"Elevated erythrocyte sedimentation rate"
"HP:0004364",2000,2325,923,3,"Abnormal circulating nitrogen compound concentration"
"HP:0003119",2000,932,551,3,"Abnormal circulating lipid concentration"
"HP:0003158",2000,22,21,3,"Hyposthenuria"
"HP:0004352",2000,73,68,3,"Abnormal circulating purine concentration"
"HP:0001392",2000,829,363,3,"Abnormality of the liver"
"HP:0002960",2000,16,15,3,"Autoimmunity"
"HP:0004379",2000,762,555,3,"Abnormality of alkaline phosphatase level"
"HP:0001901",2000,4,2,3,"Polycythemia"
"HP:0500020",2000,134,71,3,"Abnormal cardiac biomarker test"
"HP:0012591",2000,13,9,3,"Abnormal urinary electrolyte concentration"
"HP:0012503",2000,309,285,3,"Abnormality of the pituitary gland"
"HP:0011277",2000,1360,1089,3,"Abnormality of the urinary system physiology"
"HP:0031209",2000,17,16,3,"Decreased lipoprotein lipase level"
"HP:0011873",2000,1916,837,3,"Abnormal platelet count"
"HP:0002904",2000,779,263,3,"Hyperbilirubinemia"
"HP:0020061",2000,6664,2780,3,"Abnormal hemoglobin concentration"
"HP:0025065",2000,1894,1112,3,"Abnormal mean corpuscular volume"
"HP:0002926",2000,62,53,3,"Abnormality of thyroid physiology"
"HP:0025546",2000,4005,1994,3,"Abnormal mean corpuscular hemoglobin concentration"
"HP:0032472",2000,54,50,3,"Abnormal urine urobilinogen level"
"HP:0100508",2000,308,234,3,"Abnormality of vitamin metabolism"
"HP:0012614",2000,1262,1027,3,"Abnormal urine cytology"
"HP:0031215",2000,1,1,3,"Decreased circulating dehydroepiandrosterone-sulfate level"
"HP:0011422",2000,16,16,4,"Abnormal blood chloride concentration"
"HP:0020062",2000,6439,2599,4,"Decreased hemoglobin concentration"
"HP:0004368",2000,45,43,4,"Increased purine level"
"HP:0001896",2000,15,14,4,"Reticulocytopenia"
"HP:0032369",2000,1585,281,4,"Alkalemia"
"HP:0025548",2000,2257,1236,4,"Increased mean corpuscular hemoglobin concentration"
"HP:0003573",2000,496,251,4,"Increased total bilirubin"
"HP:0012443",2000,309,285,4,"Abnormality of brain morphology"
"HP:0001873",2000,1331,575,4,"Thrombocytopenia"
"HP:0011877",2000,671,442,4,"Increased mean platelet volume"
"HP:0500165",2000,2385,346,4,"Abnormal blood oxygen level"
"HP:0031097",2000,287,266,4,"Abnormal thyroid-stimulating hormone level"
"HP:0032309",2000,9663,2931,4,"Abnormal granulocyte count"
"HP:0031970",2000,231,190,4,"Abnormal blood urea nitrogen concentration"
"HP:0031505",2000,62,53,4,"Abnormal circulating thyroxine level"
"HP:0011905",2000,2,2,4,"Reduced hemoglobin A"
"HP:0012085",2000,1262,1027,4,"Pyuria"
"HP:0031851",2000,7620,2501,4,"Reduced hematocrit"
"HP:0001923",2000,90,71,4,"Reticulocytosis"
