"termid","lab_year","n_record","n_patient","label","distancetoroot"
"HP:0000077",2003,18705,11064,"Abnormality of the kidney",4
"HP:0000077",2004,19150,10950,"Abnormality of the kidney",4
"HP:0000077",2005,19687,10902,"Abnormality of the kidney",4
"HP:0000077",2006,81810,16752,"Abnormality of the kidney",4
"HP:0000077",2007,817004,34931,"Abnormality of the kidney",4
"HP:0000077",2008,811933,53092,"Abnormality of the kidney",4
"HP:0000077",2009,870046,63616,"Abnormality of the kidney",4
"HP:0000077",2010,953885,74108,"Abnormality of the kidney",4
"HP:0000077",2011,1033253,84230,"Abnormality of the kidney",4
"HP:0000077",2012,1217957,102901,"Abnormality of the kidney",4
"HP:0000077",2013,1366928,119972,"Abnormality of the kidney",4
"HP:0000077",2014,1600471,141511,"Abnormality of the kidney",4
"HP:0000077",2015,1878520,187041,"Abnormality of the kidney",4
"HP:0000077",2016,2180400,212006,"Abnormality of the kidney",4
"HP:0000077",2017,1873985,162351,"Abnormality of the kidney",4
"HP:0000077",2018,1575547,116453,"Abnormality of the kidney",4
"HP:0000077",2019,1913981,145592,"Abnormality of the kidney",4
"HP:0000077",2020,786129,70169,"Abnormality of the kidney",4
"HP:0000079",2000,10438,3472,"Abnormality of the urinary system",2
"HP:0000079",2001,54356,16196,"Abnormality of the urinary system",2
"HP:0000079",2002,89765,28002,"Abnormality of the urinary system",2
"HP:0000079",2003,474315,33320,"Abnormality of the urinary system",2
"HP:0000079",2004,419577,26896,"Abnormality of the urinary system",2
"HP:0000079",2005,537095,31905,"Abnormality of the urinary system",2
"HP:0000079",2006,619669,39089,"Abnormality of the urinary system",2
"HP:0000079",2007,1401716,55569,"Abnormality of the urinary system",2
"HP:0000079",2008,1327714,71465,"Abnormality of the urinary system",2
"HP:0000079",2009,1396480,81784,"Abnormality of the urinary system",2
"HP:0000079",2010,1548751,96150,"Abnormality of the urinary system",2
"HP:0000079",2011,1792811,109428,"Abnormality of the urinary system",2
"HP:0000079",2012,2535104,140310,"Abnormality of the urinary system",2
"HP:0000079",2013,2922364,163967,"Abnormality of the urinary system",2
"HP:0000079",2014,3115841,198182,"Abnormality of the urinary system",2
"HP:0000079",2015,3513462,263078,"Abnormality of the urinary system",2
"HP:0000079",2016,4002910,294939,"Abnormality of the urinary system",2
"HP:0000079",2017,3436031,268613,"Abnormality of the urinary system",2
"HP:0000079",2018,3020677,256565,"Abnormality of the urinary system",2
"HP:0000079",2019,3466581,263181,"Abnormality of the urinary system",2
"HP:0000079",2020,1359796,115564,"Abnormality of the urinary system",2
"HP:0000079",NA,30,30,"Abnormality of the urinary system",2
"HP:0000093",2002,65,54,"Proteinuria",4
"HP:0000093",2003,3120,1132,"Proteinuria",4
"HP:0000093",2004,2145,1012,"Proteinuria",4
"HP:0000093",2005,3512,1296,"Proteinuria",4
"HP:0000093",2006,5399,1661,"Proteinuria",4
"HP:0000093",2007,8487,2054,"Proteinuria",4
"HP:0000093",2008,10155,2852,"Proteinuria",4
"HP:0000093",2009,14045,3534,"Proteinuria",4
"HP:0000093",2010,17187,4551,"Proteinuria",4
"HP:0000093",2011,31561,12014,"Proteinuria",4
"HP:0000093",2012,81245,35348,"Proteinuria",4
"HP:0000093",2013,96971,40736,"Proteinuria",4
"HP:0000093",2014,79811,31842,"Proteinuria",4
"HP:0000093",2015,47879,15264,"Proteinuria",4
"HP:0000093",2016,52555,16759,"Proteinuria",4
"HP:0000093",2017,50997,17952,"Proteinuria",4
"HP:0000093",2018,59208,19635,"Proteinuria",4
"HP:0000093",2019,71606,22339,"Proteinuria",4
"HP:0000093",2020,24418,9261,"Proteinuria",4
"HP:0000118",1936,18,1,"Phenotypic abnormality",0
"HP:0000118",1998,12,4,"Phenotypic abnormality",0
"HP:0000118",1999,21,11,"Phenotypic abnormality",0
"HP:0000118",2000,280486,9004,"Phenotypic abnormality",0
"HP:0000118",2001,4451103,54642,"Phenotypic abnormality",0
"HP:0000118",2002,6167222,68504,"Phenotypic abnormality",0
"HP:0000118",2003,22216407,82320,"Phenotypic abnormality",0
"HP:0000118",2004,20690540,75956,"Phenotypic abnormality",0
"HP:0000118",2005,26102788,85992,"Phenotypic abnormality",0
"HP:0000118",2006,27455242,95910,"Phenotypic abnormality",0
"HP:0000118",2007,31838072,109257,"Phenotypic abnormality",0
"HP:0000118",2008,27445877,118185,"Phenotypic abnormality",0
"HP:0000118",2009,30031822,136806,"Phenotypic abnormality",0
"HP:0000118",2010,33384838,159931,"Phenotypic abnormality",0
"HP:0000118",2011,36325482,178992,"Phenotypic abnormality",0
"HP:0000118",2012,39765131,213423,"Phenotypic abnormality",0
"HP:0000118",2013,44001816,234111,"Phenotypic abnormality",0
"HP:0000118",2014,52214021,326421,"Phenotypic abnormality",0
"HP:0000118",2015,66146741,431658,"Phenotypic abnormality",0
